Objective value: 107.6583

******Calibrated demand*****
ID	 CalibratedValue
ST00005941    0.3216
ST00005942    0.3390
ST00005943    0.3527
ST00005944    0.4306
ST00005945    0.4113
ST00005952    1.9769
ST00005958    0.6486
ST00005972    0.3092
ST00005973    0.4052
ST00005979    1.1463
ST00005980    -0.1497
ST00005992    1.3143
ST00005998    0.4165
ST00006009    0.3025
ST00006015    0.6218
ST00006016    -0.0647
ST00006018    0.5886
ST00006021    0.3142
ST00006023    0.4030
ST00006025    0.3509
ST00006026    0.3632
ST00006028    0.4287
ST00006032    0.4111
ST00006033    0.3661
ST00006035    0.3634
ST00006039    0.4045
ST00006040    0.3343
ST00006045    0.2985
ST00006050    0.4073
ST00006058    0.6124
ST00006060    0.0110
ST00006069    0.1101
ST00006070    0.1865
ST00006082    0.7888
ST00006097    0.9024
ST00006102    1.0894
ST00006115    0.3866
ST00006118    0.2828
ST00006119    0.3792
ST00006121    0.3493
ST00006130    0.3727
ST00006134    0.4281
ST00006143    0.3285
ST00006146    0.3918
ST00006148    0.3558
ST00006176    0.6870
ST00006184    1.8393
ST00006186    4.0719
ST00006193    1.6720
ST00006196    0.4956
ST00006198    1.0144
ST00006205    0.3372
ST00006213    0.3426
ST00006215    1.0755
ST00006223    0.4051
ST00006232    0.3621
ST00006238    0.3132
ST00006242    0.3800
ST00006244    0.3115
ST00006248    0.4326
ST00006272    0.7609
ST00006286    0.6165
ST00006290    0.9142
ST00006309    0.3107
ST00006314    -0.1139
ST00006329    0.2980
ST00006330    1.5399
ST00006337    1.5759
ST00006369    0.4111
ST00006377    0.3631
ST00006382    2.7691
ST00006385    0.6797
ST00006441    0.7739
ST00006443    0.3488
ST00006446    0.0607
ST00006448    -0.1550
ST00006451    0.0769
ST00006453    0.0861
ST00006455    0.1834
ST00006457    0.3286
ST00006459    0.3779
ST00006461    0.8152
ST00006467    0.5564
ST00006468    0.5151
ST00006471    0.7999
ST00006509    1.2890
ST00006511    1.1811
ST00006541    0.4960
ST00006556    0.3960
ST00006558    0.6481
ST00006570    0.6182
ST00006573    0.7323
ST00006580    0.3188
ST00006593    1.0263
ST00006597    0.4250
ST00006635    0.3957
ST00006662    0.3830
ST00006671    0.3604
ST00006676    0.5379
ST00006680    0.9694
ST00006684    0.4780
ST00006688    0.3667
ST00006693    1.5161
ST00006694    2.4594
ST00006696    1.7857
ST00006697    1.5761
ST00006706    -0.0931
ST00006707    -0.0888
ST00006712    0.1910
ST00006717    1.8485
ST00006722    1.2090
ST00006725    0.9562
ST00006726    0.5847
ST00006727    0.7403
ST00006735    0.8888
ST00006737    0.5195
ST00006741    0.1074
ST00006751    0.3344
ST00006755    0.3364
ST00006767    0.3766
ST00006770    0.1471
ST00006785    0.8914
ST00006814    0.3785
ST00006835    1.3153
ST00006843    0.9473
ST00006846    0.3628
ST00006850    0.3753
ST00006856    0.0835
ST00006864    0.3301
ST00006872    0.3336
ST00006878    0.2796
ST00006879    0.1643
ST00006884    1.6719
ST00006886    0.1826
ST00006948    1.5387
ST00006984    0.4118
ST00006985    0.3186
ST00006992    0.3112
ST00006994    0.3390
ST00006999    2.1949
ST00007046    0.3002
ST00007057    0.2317
ST00007058    0.3383
ST00007062    0.3568
ST00007063    1.1154
ST00007064    0.4585
ST00007083    2.1101
ST00007092    0.8080
ST00007093    0.5833
ST00007099    1.0212
ST00007161    1.2735
ST00007163    1.1403
ST00007164    1.3718
